,event_time,transaction_id,type,origin_transaction_id,category,payment_method,fee,tax,iap_item.name,iap_item.price,discount.code,discount.amount
0,2023-12-10 04:54:39.280,khZq8pMqfYRHf67n,,,Feature Unlock,In-app Purchase,0.05,0.35,500 Gold Coins,0.99,,0.0
1,2023-12-10 05:22:53.457,bxkqVjU170DAvdJg,,,Power-ups,Direct Card,0.3,0.35,Ad-Free Experience,3.99,VIP15,0.15
2,2023-12-10 05:23:30.365,UapawE3Y7iTF2dH7,,,Virtual Currency,Direct Card,0.1,0.3,Super Power Boost,2.99,,0.0
3,2023-12-10 05:39:55.109,U7a3hGAU9ulV88xu,,,Skins,Gift Card,0.1,0.3,500 Gold Coins,0.99,,0.0
4,2023-12-10 05:40:38.036,asARcyTHVTtl2Ws8,,,Skins,Gift Card,0.2,0.3,Ad-Free Experience,3.99,BONUS5,0.05
5,2023-12-10 05:56:59.222,iM5Cly644MBiNHmL,refund,asARcyTHVTtl2Ws8,Skins,Gift Card,0.2,0.3,Ad-Free Experience,3.99,BONUS5,0.05
6,2023-12-10 06:30:41.371,n4Yzq3gAixnq84Fe,,,Feature Unlock,In-app Purchase,0.1,0.15,Premium Level Access,4.99,,0.0
7,2023-12-10 06:37:38.357,bY7BJ2H3FUag3cHd,,,Skins,Gift Card,0.05,0.35,Premium Level Access,4.99,BONUS5,0.05
8,2023-12-10 06:38:34.105,bhVKJ1B4UsyXnweg,,,Skins,Gift Card,0.2,0.35,500 Gold Coins,0.99,,0.0
9,2023-12-10 06:43:46.461,998Vc6PfmBfDUqBm,,,Virtual Currency,In-app Purchase,0.05,0.2,Special Character Skin,1.99,,0.0
10,2023-12-10 06:44:37.829,bG1WfN2Iey2NB1R5,refund,bxkqVjU170DAvdJg,Power-ups,Direct Card,0.3,0.35,Ad-Free Experience,3.99,VIP15,0.15
11,2023-12-10 06:51:24.485,bjoltcbrgsT8oZj6,,,Power-ups,In-app Purchase,0.05,0.05,Super Power Boost,2.99,,0.0
12,2023-12-10 06:58:41.911,8cdnJZyEr7kE2vus,,,Power-ups,Gift Card,0.2,0.15,500 Gold Coins,0.99,,0.0
13,2023-12-10 07:07:37.438,a0s6Bz4mrheE1xeL,,,Skins,Direct Card,0.15,0.05,Ad-Free Experience,3.99,,0.0
14,2023-12-10 07:10:24.967,Pdk6QmDaxMdixyqw,,,Power-ups,Direct Card,0.15,0.25,Super Power Boost,2.99,BONUS5,0.05
15,2023-12-10 07:50:40.914,MAoAAqCNhdj16AXn,,,Skins,Direct Card,0.2,0.25,Super Power Boost,2.99,,0.0
16,2023-12-10 07:51:19.011,nmmbgTQiv01AkhiJ,,,Power-ups,In-app Purchase,0.3,0.3,Super Power Boost,2.99,SALE10,0.1
17,2023-12-10 08:09:12.738,0aVADwfGRn9F7aRp,,,Skins,Direct Card,0.05,0.25,Special Character Skin,1.99,,0.0
18,2023-12-10 08:27:39.773,ee67vgRS528UM0kB,,,Feature Unlock,In-app Purchase,0.2,0.15,500 Gold Coins,0.99,VIP15,0.15
19,2023-12-10 08:34:45.769,cZeX4LQgMvvFJqDO,,,Virtual Currency,Gift Card,0.15,0.2,500 Gold Coins,0.99,,0.0
